image_id,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,image_path,inspect_layer0,inspect_layer1,inspect_layer2,inspect_layer3,inspect_layer4,inspect_layer5,inspect_layer6,inspect_layer7,inspect_layer8,inspect_layer9,inspect_layer10,inspect_layer11,inspect_layer12,inspect_layer13,inspect_layer14,inspect_layer15,inspect_layer16,inspect_layer17,inspect_layer18,inspect_layer19,inspect_layer20,inspect_layer21,inspect_layer22,inspect_layer23,inspect_layer24,inspect_layer25,inspect_layer26,inspect_layer27,inspect_layer28,inspect_layer29,inspect_layer30,inspect_layer31
000001.jpg,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000001.jpg,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>",is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000002.jpg,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000002.jpg,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000003.jpg,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000003.jpg,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000004.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000004.jpg,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000005.jpg,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000005.jpg,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000006.jpg,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000006.jpg,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000007.jpg,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000007.jpg,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000008.jpg,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000008.jpg,is NONE. nobody has none of these hair colors.</s>,is: NONE</s>,is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000009.jpg,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000009.jpg,is NONE. nobody has none of these hair colors.</s>,is: NONE</s>,is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
000010.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000010.jpg,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is: NONE</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>","is NONE. nobody has black hair, blond hair, brown hair, gray hair, or red hair.</s>",is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,is NONE. nobody has none of these hair colors.</s>,"'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>","'s hair color is ""NONE"".</s>"
